,RIDAGEYR,INDFMPIR,LBXHSCRP,phq9,log_crp
mean,49.58513127112035,2.5784819339745257,2.5193475435404213,3.116454380036392,1.085682040176297
std,18.466029509401793,1.6196276555795954,2.2188734745782064,4.068888991864792,0.573383791962656
min,18.0,0.0,0.11,0.0,0.10436001532424277
25%,33.0,1.2,0.83,0.0,0.6043159668533294
50%,51.0,2.16,1.7,2.0,0.9932517730102833
75%,64.0,4.16,3.61,4.0,1.528227857008557
max,80.0,5.0,9.97,25.0,2.395164274287139
