,RIDAGEYR,INDFMPIR,LBXHSCRP,phq9,log_crp,BMXBMI,PAD680
mean,49.53419593345656,2.584922101927647,2.512748877739636,3.0908370742012146,1.0840549100966694,29.181436493266435,331.6398204383417
std,18.41238531022262,1.6205802059492274,2.214741806381419,4.054852116392102,0.5728015354460977,6.800503869213805,197.59165841366885
min,18.0,0.0,0.11,0.0,0.10436001532424277,14.8,0.0
25%,33.0,1.2,0.83,0.0,0.6043159668533294,24.4,180.0
50%,51.0,2.17,1.69,2.0,0.9895411936137477,28.1,300.0
75%,64.0,4.17,3.6,4.0,1.5260563034950492,32.9,480.0
max,80.0,5.0,9.97,25.0,2.395164274287139,72.6,1320.0
