,RIDAGEYR,INDFMPIR,LBXHSCRP,phq9,log_crp,DXDTOPF,PAD680
mean,38.18946796959826,2.544033659066232,2.3691476655808903,3.1378935939196526,1.0378383544941427,32.730836047774154,332.98914223669925
std,12.470560131953853,1.6570167381017433,2.176371827185247,4.086448705658556,0.5761779643087608,8.374970745487474,201.01857922143034
min,18.0,0.0,0.11,0.0,0.10436001532424277,12.1,2.0
25%,27.0,1.14,0.74,0.0,0.5538851132264376,26.8,180.0
50%,38.0,2.16,1.5,2.0,0.9162907318741551,32.1,300.0
75%,49.0,4.17,3.4375,4.0,1.490090678347361,39.675000000000004,480.0
max,59.0,5.0,9.8,25.0,2.379546134130174,54.4,1320.0
