,log_crp,RIDAGEYR,INDFMPIR,BMXBMI,PAD680
log_crp,1.0,0.07040089301770734,-0.0897471709443961,0.46486977849461136,0.052648510330149924
RIDAGEYR,0.07040089301770734,1.0,0.09570683142369449,0.0559803591223829,0.019222820958139757
INDFMPIR,-0.0897471709443961,0.09570683142369449,1.0,-0.04224756556369316,0.17263790952094327
BMXBMI,0.46486977849461136,0.0559803591223829,-0.04224756556369316,1.0,0.09766929291834368
PAD680,0.052648510330149924,0.019222820958139757,0.17263790952094327,0.09766929291834368,1.0
