,log_crp,RIDAGEYR,INDFMPIR
log_crp,1.0,0.06756540981496995,-0.08968784122475984
RIDAGEYR,0.06756540981496995,1.0,0.09555098216806988
INDFMPIR,-0.08968784122475984,0.09555098216806988,1.0
