,log_crp,RIDAGEYR,INDFMPIR,DXDTOPF,PAD680
log_crp,1.0,0.11788555644768266,-0.07638620815081783,0.44664444241721746,0.03524355518678175
RIDAGEYR,0.11788555644768266,1.0,0.1704921643812137,0.17898905292972916,-0.012322135437918595
INDFMPIR,-0.07638620815081783,0.1704921643812137,1.0,-0.004695285643759561,0.20009034116373248
DXDTOPF,0.44664444241721746,0.17898905292972916,-0.004695285643759561,1.0,0.06162164495504536
PAD680,0.03524355518678175,-0.012322135437918595,0.20009034116373248,0.06162164495504536,1.0
